event_key,event_name,season,region,event_type,date,team1,team2,score1,score2,winner,stage,match_id,url
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,7:00 PM,BBL Esports,GIANTX,2,1,BBL Esports,Upper Round 1,429381,https://www.vlr.gg/429381/bbl-esports-vs-giantx-champions-tour-2025-emea-kickoff-ur1
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,10:30 PM,Karmine Corp,Natus Vincere,2,1,Karmine Corp,Upper Round 1,429380,https://www.vlr.gg/429380/karmine-corp-vs-natus-vincere-champions-tour-2025-emea-kickoff-ur1
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,7:00 PM,Team Liquid,KOI,2,1,Team Liquid,Upper Round 1,429379,https://www.vlr.gg/429379/team-liquid-vs-koi-champions-tour-2025-emea-kickoff-ur1
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,10:10 PM,Apeks,Gentle Mates,0,2,Gentle Mates,Upper Round 1,429382,https://www.vlr.gg/429382/apeks-vs-gentle-mates-champions-tour-2025-emea-kickoff-ur1
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,7:00 PM,FNATIC,BBL Esports,1,2,BBL Esports,Upper Quarterfinals,429385,https://www.vlr.gg/429385/fnatic-vs-bbl-esports-champions-tour-2025-emea-kickoff-ubqf
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,11:00 PM,Team Vitality,Karmine Corp,2,1,Team Vitality,Upper Quarterfinals,429384,https://www.vlr.gg/429384/team-vitality-vs-karmine-corp-champions-tour-2025-emea-kickoff-ubqf
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,7:00 PM,FUT Esports,Team Liquid,2,0,FUT Esports,Upper Quarterfinals,429383,https://www.vlr.gg/429383/fut-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-ubqf
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,9:10 PM,Team Heretics,Gentle Mates,2,1,Team Heretics,Upper Quarterfinals,429386,https://www.vlr.gg/429386/team-heretics-vs-gentle-mates-champions-tour-2025-emea-kickoff-ubqf
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,7:00 PM,Karmine Corp,GIANTX,1,2,GIANTX,Lower Round 1,429393,https://www.vlr.gg/429393/karmine-corp-vs-giantx-champions-tour-2025-emea-kickoff-lr1
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,10:30 PM,FNATIC,Natus Vincere,2,1,FNATIC,Lower Round 1,429392,https://www.vlr.gg/429392/fnatic-vs-natus-vincere-champions-tour-2025-emea-kickoff-lr1
