event_key,event_name,season,region,event_type,player,team,role,agents,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,headshot_pct,clutch_pct
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,keiko,TL,,,493,1.26,239.5,1.34,78%,156.3,0.88,0.30,0.11,0.06,40%,16%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,Minny,M8,,,192,1.18,219.5,1.26,71%,139.8,0.79,0.17,0.14,0.07,38%,11%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,florescent,APK,,,111,1.17,256.6,1.16,69%,172.9,0.91,0.15,0.20,0.14,38%,8%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,kaajak,FNC,,,215,1.16,245.0,1.30,69%,157.9,0.89,0.21,0.15,0.16,37%,23%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,yetujey,FUT,,,179,1.13,230.8,1.15,75%,150.9,0.81,0.23,0.14,0.08,26%,15%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,Alfajer,FNC,,,215,1.12,233.5,1.15,71%,153.4,0.84,0.22,0.18,0.08,29%,13%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,Derke,VIT,,,249,1.12,252.8,1.17,70%,164.9,0.87,0.18,0.24,0.21,30%,
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,Sayf,VIT,,,249,1.10,214.2,1.22,71%,138.5,0.78,0.24,0.09,0.08,26%,19%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,sociablEE,BBL,,,244,1.09,228.5,1.12,73%,144.8,0.80,0.20,0.11,0.13,22%,14%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,Avez,KC,,,199,1.09,208.8,1.08,75%,135.0,0.72,0.30,0.07,0.07,36%,15%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,Wo0t,TH,,,189,1.08,205.1,1.03,74%,136.8,0.70,0.43,0.11,0.10,35%,14%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,Ruxic,NAVI,,,128,1.08,216.0,1.04,77%,136.7,0.75,0.38,0.11,0.11,26%,
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,Less,VIT,,,249,1.08,196.3,1.15,72%,126.5,0.69,0.32,0.04,0.06,30%,35%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,SUYGETSU,KC,,,199,1.08,194.2,1.10,75%,122.7,0.69,0.42,0.08,0.10,42%,13%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,Shao,NAVI,,,128,1.07,183.8,1.14,73%,120.7,0.70,0.30,0.09,0.05,29%,20%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,Cloud,GX,,,176,1.07,206.1,1.03,68%,139.5,0.71,0.26,0.11,0.10,30%,8%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,kamyk,TL,,,493,1.07,201.9,1.10,74%,132.9,0.71,0.28,0.09,0.08,25%,15%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,Chronicle,FNC,,,215,1.06,195.8,1.10,70%,131.1,0.69,0.35,0.07,0.08,24%,6%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,RieNs,TH,,,189,1.06,205.4,1.02,74%,137.4,0.74,0.27,0.11,0.06,43%,9%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,PROFEK,BBL,,,244,1.05,200.7,1.07,68%,133.8,0.74,0.31,0.06,0.07,30%,28%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,xeus,FUT,,,179,1.05,231.8,1.09,67%,148.7,0.85,0.15,0.14,0.22,38%,25%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,Kada,M8,,,192,1.04,181.9,1.03,70%,113.7,0.64,0.36,0.05,0.04,36%,8%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,trexx,VIT,,,249,1.03,194.2,1.01,71%,128.3,0.63,0.39,0.08,0.06,17%,18%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,Click,M8,,,192,1.02,209.6,1.12,68%,134.1,0.81,0.09,0.19,0.19,38%,25%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,Kicks,VIT,,,249,1.01,194.7,1.00,78%,117.7,0.67,0.47,0.09,0.06,29%,16%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,paTiTek,TL,,,493,0.99,173.8,0.98,75%,116.2,0.61,0.37,0.09,0.07,26%,13%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,Zyppan,M8,,,192,0.98,179.6,0.91,69%,120.8,0.63,0.43,0.08,0.10,31%,12%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,kamo,TL,,,493,0.98,219.6,1.05,70%,143.6,0.77,0.16,0.17,0.15,27%,16%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,nAts,TL,,,493,0.98,200.0,1.02,71%,135.0,0.71,0.26,0.11,0.09,29%,11%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,tomaszy,GX,,,176,0.97,182.5,0.91,72%,120.8,0.66,0.41,0.08,0.09,30%,13%
kickoff_emea_2025,VCT 2025: EMEA Kickoff,2025,emea,kickoff,saadhak,KC,,,199,0.97,183.9,0.97,73%,119.2,0.64,0.34,0.07,0.11,26%,15%
